actStTime,actEndTime,actCategory,placeOrRoute,authorities
活動開始時間,活動結束時間,活動類別,集會處所或遊行路線,主管機關
2016/11/26 09:00,2016/11/26 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/26 09:00,2016/11/26 20:00,室外集會,臺北市中正區凱達格蘭大道【公園路（不含）至中山南路（不含）】北側人行道暨緊鄰5線車道,臺北市政府警察局中正第一分局
2016/11/26 09:00,2016/11/26 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/26 08:00,2016/11/26 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/26 08:00,2016/11/26 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/26 07:00,2016/11/26 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/25 09:00,2016/11/25 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/25 09:00,2016/11/25 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/25 08:00,2016/11/25 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/25 08:00,2016/11/25 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/25 07:00,2016/11/25 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/24 09:00,2016/11/24 23:50,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/24 09:00,2016/11/24 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/24 08:00,2016/11/24 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/24 08:00,2016/11/24 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/24 07:00,2016/11/24 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/24 07:00,2016/11/24 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/23 09:00,2016/11/23 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/23 09:00,2016/11/23 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/23 08:00,2016/11/23 22:00,室外集會,臺北市中山區八德路2段232號前,臺北市政府警察局中山分局
2016/11/23 08:00,2016/11/23 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/23 08:00,2016/11/23 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/23 07:00,2016/11/23 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/23 07:00,2016/11/23 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/22 09:00,2016/11/22 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/22 09:00,2016/11/22 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/22 08:00,2016/11/22 22:00,室外集會,臺北市中山區八德路2段232號前,臺北市政府警察局中山分局
2016/11/22 08:00,2016/11/22 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/22 08:00,2016/11/22 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/22 07:00,2016/11/22 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/22 07:00,2016/11/22 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/21 09:00,2016/11/21 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/21 09:00,2016/11/21 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/21 08:00,2016/11/21 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/21 08:00,2016/11/21 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/21 07:00,2016/11/21 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/21 07:00,2016/11/21 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/20 10:00,2016/11/20 17:59,室外集會,臺北市中正區凱達格蘭大道【公園路（不含）至中山南路（不含）】北側人行道暨緊鄰5線車道,臺北市政府警察局中正第一分局
2016/11/20 09:00,2016/11/20 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/20 09:00,2016/11/20 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/20 08:00,2016/11/20 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/20 08:00,2016/11/20 17:10,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/20 07:00,2016/11/20 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/20 07:00,2016/11/20 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道【漢中街(不含)至中華路1段(不含)間】,臺北市政府警察局萬華分局
2016/11/20 00:00,2016/11/20 21:00,室外集會,臺北市大安區建國南路一段大安郵局側人行道,臺北市政府警察局大安分局
2016/11/19 12:00,2016/11/19 15:00,室外集會,高雄市三民區延慶街78號,高雄市政府警察局三民第二分局
2016/11/19 09:00,2016/11/19 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/19 09:00,2016/11/19 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/19 08:00,2016/11/19 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/19 08:00,2016/11/19 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/19 07:00,2016/11/19 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/19 07:00,2016/11/19 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/19 00:00,2016/11/19 23:59,室外集會,臺北市大安區建國南路一段大安郵局側人行道,臺北市政府警察局大安分局
2016/11/18 09:00,2016/11/18 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/18 09:00,2016/11/18 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/18 08:00,2016/11/18 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/18 08:00,2016/11/18 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/18 07:00,2016/11/18 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/18 07:00,2016/11/18 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/17 09:00,2016/11/17 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/17 09:00,2016/11/17 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/17 08:00,2016/11/17 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/17 08:00,2016/11/17 17:10,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/17 07:00,2016/11/17 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/17 07:00,2016/11/17 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/16 14:00,2016/11/16 17:00,遊行,基隆市仁愛區中正區仁愛區,基隆市警察局
2016/11/16 09:00,2016/11/16 17:00,室外集會,新北市板橋區文化路二段124巷6號,新北市政府警察局海山分局
2016/11/16 09:00,2016/11/16 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/16 09:00,2016/11/16 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/16 08:00,2016/11/16 13:00,遊行,苗栗縣頭份市市區街道,苗栗縣警察局頭份分局
2016/11/16 08:00,2016/11/16 22:00,室外集會,臺北市中山區八德路2段232號,臺北市政府警察局中山分局
2016/11/16 08:00,2016/11/16 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/16 08:00,2016/11/16 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道之沿邊,臺北市政府警察局士林分局
2016/11/16 07:00,2016/11/16 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/16 07:00,2016/11/16 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
